"","Parameter","n","mean_base","sd_base","effect_size_base","mean_end","sd_end","effect_size_end","mean_change","sd_change","effect_size_change"
"1","FGLU",44,8.3001575198524,2.36347378726595,3.51184665748037,6.65156983203396,2.07893623668398,3.19950641807253,-1.64858768781844,1.53868907997732,-1.07142353141464
"2","FGLU-AUC",34,1710.18730278996,545.092962682512,3.13742319176858,1323.32252371034,414.716468834667,3.19090902618073,-386.864779079622,331.231006299525,-1.1679606429411
"3","HOMASINS",40,67.0385045760833,55.2396597888636,1.21359372654207,81.2304611748429,43.5512301169975,1.86517030533059,14.1919565987597,43.5251835542059,0.326063107375185
"4","M_VALUE",15,4.32108732403451,3.53368080934165,1.22282898687716,5.41352309573588,3.16909400873509,1.70822420566079,1.09243577170136,2.41280768615589,0.452765372876378
"5","OGIS",32,364.585163199458,102.769562633222,3.54759866499228,399.942408807002,99.5033988348549,4.01938439782126,35.3572456075433,106.699878069354,0.331371002922435
"6","PREDIM",32,9.23912755863093,5.06285809126082,1.82488376961995,10.515951286608,5.31992205976199,1.97671153232619,37683351658.7075,213195867298.25,0.176754606626546
"7","QUICKI",32,0.330178040536903,0.061536702114677,5.36554656311608,0.339768488645419,0.068307417679362,4.97410823287607,0.00959044810851553,0.0799025468795727,0.12002681370057
"8","SI",32,0.00131705368216475,0.00217097538120546,0.606664494478719,0.00186324890567222,0.00139908200782646,1.33176532558436,0.000546195223507466,0.00190395956181036,0.286873332009279
"9","TINSUL",43,16.439621397502,12.8061181135908,1.28373182659115,11.9497145102762,8.14293832968267,1.46749416813302,-4.4899068872258,8.98244964578791,-0.499853276587108
"10","TINSUL-AUC",33,7065.24345067431,5286.86612773138,1.33637646196766,4479.36844628435,2320.81078688832,1.93008773984981,-2585.87500438996,4656.72721016661,-0.555298794128299
